biosample_id,sampleid,organism,host,city,state,zip,country,university,lat_lon,horse,visit,sample_order,dob,collection_date,age_of_collection,sample_age,month_norm,equine_sex,sex,breed,breed_type,diagnosis,disease_category,colic_inflammatory,acute_gi_subgroup,disease_category_healthy,disease_category_acute_gi,disease_category_musculoskeletal,disease_category_ocular,disease_category_integumentary,disease_category_respiratory,disease_category_chronic_gi,disease_category_neurologic,disease_category_dental,disease_category_reproductive,disease_category_systemic,disease_category_cardiovascular,disease_category_immune_mediated,disease_category_urinary,euthanasia_death,treatment,treatment_analgesic,treatment_antibiotic,treatment_surgery,treatment_antacid,treatment_drug,treatment_procedure,treatment_sedative,treatment_supplement,treatment_antibiotic_aminoglycoside,treatment_NSAID,treatment_anesthetic,treatment_antibiotic_beta_lactam,treatment_antibiotic_cephalosporin,treatment_fluid,treatment_antibiotic_sulfonamide,treatment_corticosteroid,feed,feed_pasture,feed_hay,feed_grain,feed_nursing
SAMN37981203,JW1,Equine Feces,Equus caballus,Knox City,MO,63446,USA,University of Missouri,38.94 N 92.32 W,4298311,1,2,8/15/08,5/26/16,2841,3,5.838709677,Mare,Female,Rocky Mountain,Other,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,xylazine,,,,,,,Xylazine,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981204,JW20,Equine Feces,Equus caballus,Collinsville,IL,62234,USA,University of Missouri,38.94 N 92.32 W,7141162,1,1,6/13/01,5/16/16,5451,1,5.516129032,Gelding,Male,Percheron,Draught,Head Shaking,Neurologic,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981205,JW21,Equine Feces,Equus caballus,Collinsville,IL,62234,USA,University of Missouri,38.94 N 92.32 W,7141162,1,2,6/13/01,5/18/16,5453,3,5.580645161,Gelding,Male,Percheron,Draught,Head Shaking,Neurologic,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981206,JW22,Equine Feces,Equus caballus,Savannah,MO,64485,USA,University of Missouri,38.94 N 92.32 W,7166156,1,1,5/13/06,5/13/16,3653,1,5.419354839,Mare,Female,Standardbred,Other,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Detomidine,,,,,,,Detomidine,,,,,,,,,,Pasture/Hay,1,1,0,0
SAMN37981207,JW23,Equine Feces,Equus caballus,Savannah,MO,64485,USA,University of Missouri,38.94 N 92.32 W,7166156,1,2,5/13/06,5/18/16,3658,6,5.580645161,Mare,Female,Standardbred,Other,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Detomidine,,,,,,,Detomidine,,,,,,,,,,Pasture/Hay,1,1,0,0
SAMN37981208,JW24,Equine Feces,Equus caballus,Montreal,MO,65591,USA,University of Missouri,38.94 N 92.32 W,7166516,1,1,6/2/05,5/24/16,4009,1,5.774193548,Gelding,Male,Quarter Horse,Quarter Horse,Arthritis; Navicular Syndrome; Parasitism: Strongyloids,Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Grain,1,0,1,0
SAMN37981209,JW25,Equine Feces,Equus caballus,Centralia,MO,65240,USA,University of Missouri,38.94 N 92.32 W,7164656,1,1,4/1/04,4/1/16,4383,1,4.033333333,Mare,Female,Quarter Horse,Quarter Horse,Colic: recurrent,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"Fluids, Xylazine, Banamine, Prednisolone",,,,,,,Xylazine,,,Flunixin,,,,Fluids,,Prednisolone,Pasture/Hay/Grain,1,1,1,0
SAMN37981210,JW26,Equine Feces,Equus caballus,Kirksville,MO,63501,USA,University of Missouri,38.94 N 92.32 W,7166631,1,1,5/27/96,5/27/16,7305,1,5.870967742,Mare,Female,Quarter Horse,Quarter Horse,Colic: recurrent,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,"Fluids, Banamine",,,,,,,,,,Flunixin,,,,Fluids,,,Pasture/Hay,1,1,0,0
SAMN37981211,JW27,Equine Feces,Equus caballus,Portland,MO,65067,USA,University of Missouri,38.94 N 92.32 W,7167323,1,1,5/1/13,6/15/16,1141,1,6.5,Filly,Female,Quarter Horse,Quarter Horse,Toxicity: NSAID,Gastrointestinal (Acute),no,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Phenylbutazone (by owner), Fluids, Omeprazole, Misoprostil",,,,Omeprazole,Misoprostol,,,,,Phenylbutazone,,,,Fluids,,,Pasture/Grain,1,0,1,0
SAMN37981212,JW28,Equine Feces,Equus caballus,Portland,MO,65067,USA,University of Missouri,38.94 N 92.32 W,7167323,1,2,5/1/13,6/19/16,1145,5,6.633333333,Filly,Female,Quarter Horse,Quarter Horse,Toxicity: NSAID,Gastrointestinal (Acute),no,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Omeprazole, Misoprostil",,,,Omeprazole,Misoprostol,,,,,Phenylbutazone,,,,Fluids,,,Pasture/Grain,1,0,1,0
SAMN37981213,JW29,Equine Feces,Equus caballus,Knox City,MO,63446,USA,University of Missouri,38.94 N 92.32 W,7167685,1,1,6/26/09,6/25/16,2556,1,6.833333333,Mare,Female,Quarter Horse,Quarter Horse,Thrombophlebitis,Integumentary,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,"Dexamethasone, Bute, Ulcergard,",,,,Omeprazole,,,,,,Phenylbutazone,,,,,,Dexamethasone,Pasture/Hay/Grain,1,1,1,0
SAMN37981214,JW2,Equine Feces,Equus caballus,Knox City,MO,63446,USA,University of Missouri,38.94 N 92.32 W,4298311,1,1,8/15/08,5/24/16,2839,1,5.774193548,Mare,Female,Rocky Mountain,Other,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,xylazine,,,,,,,Xylazine,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981215,JW30,Equine Feces,Equus caballus,Knox City,MO,63446,USA,University of Missouri,38.94 N 92.32 W,7167685,1,2,6/26/09,6/26/16,2557,2,6.866666667,Mare,Female,Quarter Horse,Quarter Horse,Thrombophlebitis,Integumentary,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,"Dexamethasone, Bute, Ulcergard,",,,,Omeprazole,,,,,,Phenylbutazone,,,,,,Dexamethasone,Pasture/Hay/Grain,1,1,1,0
SAMN37981216,JW31,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167560,1,1,1/21/16,6/22/16,153,1,6.733333333,Colt,Male,Saddlebred,Other,Bacterial Pneumonia,Respiratory,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,"K pen, Gentamicin, Banamine",,,,,,,,,Gentamicin,Flunixin,,Penicillin,,,,,Nursing/Hay,0,1,0,1
SAMN37981217,JW32,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167560,1,2,1/21/16,6/24/16,155,3,6.8,Colt,Male,Saddlebred,Other,Bacterial Pneumonia,Respiratory,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,"K pen, Gentamicin, Banamine",,,,,,,,,Gentamicin,Flunixin,,Penicillin,,,,,Nursing/Hay,0,1,0,1
SAMN37981218,JW33,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167560,1,3,1/21/16,6/27/16,158,6,6.9,Colt,Male,Saddlebred,Other,Bacterial Pneumonia,Respiratory,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,"K pen, Gentamicin, Banamine",,,,,,,,,Gentamicin,Flunixin,,Penicillin,,,,,Nursing/Hay,0,1,0,1
SAMN37981219,JW34,Equine Feces,Equus caballus,Ozark,MO,65721,USA,University of Missouri,38.94 N 92.32 W,7166978,1,1,6/4/04,6/7/16,4386,1,6.233333333,Mare,Female,Missouri Fox Trotter,Other,Corneal Laceration,Ocular,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,"Banamine, eye meds",,,,,,,,,,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981220,JW35,Equine Feces,Equus caballus,O'Fallon,MO,63366,USA,University of Missouri,38.94 N 92.32 W,151158,1,1,5/17/01,6/24/16,5517,1,6.8,Gelding,Male,Hanoverian,Warmblood,Colic: Abdominal,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Dipyran, Fluids, Butorphanol, Buscopan, Banamine",Butorphanol,,,,"Dipyridamole,Butylscopolamine",,"Xylazine,Detomidine",,,Flunixin,,,,,,,Hay/Grain,0,1,1,0
SAMN37981221,JW36,Equine Feces,Equus caballus,O'Fallon,MO,63366,USA,University of Missouri,38.94 N 92.32 W,151158,1,2,5/17/01,6/25/16,5518,2,6.833333333,Gelding,Male,Hanoverian,Warmblood,Colic: Abdominal,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Dipyran, Fluids, Butorphanol, Buscopan, Banamine",Butorphanol,,,,"Dipyridamole,Butylscopolamine",,"Xylazine,Detomidine",,,Flunixin,,,,,,,Hay/Grain,0,1,1,0
SAMN37981222,JW37,Equine Feces,Equus caballus,O'Fallon,MO,63366,USA,University of Missouri,38.94 N 92.32 W,151158,1,3,5/17/01,6/27/16,5520,4,6.9,Gelding,Male,Hanoverian,Warmblood,Colic: Abdominal,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Dipyran, Fluids, Butorphanol, Buscopan, Banamine",Butorphanol,,,,"Dipyridamole,Butylscopolamine",,"Xylazine,Detomidine",,,Flunixin,,,,,,,Hay/Grain,0,1,1,0
SAMN37981223,JW38,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167559,1,1,6/23/04,6/22/16,4382,1,6.733333333,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981224,JW39,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167559,1,2,6/23/04,6/24/16,4384,3,6.8,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981225,JW3,Equine Feces,Equus caballus,Knox City,MO,63446,USA,University of Missouri,38.94 N 92.32 W,4298311,1,3,8/15/08,5/28/16,2843,5,5.903225806,Mare,Female,Rocky Mountain,Other,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,xylazine,,,,,,,Xylazine,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981226,JW40,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7167559,1,3,6/23/04,6/27/16,4387,6,6.9,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981227,JW41,Equine Feces,Equus caballus,Jefferson City,MO,65109,USA,University of Missouri,38.94 N 92.32 W,7167691,1,3,6/26/10,6/29/16,2195,4,6.966666667,Gelding,Male,Gypsy Vanner,Cob,Anhydrosis: Equine Metabolic Syndrome; Laminitis: bilateral forelimb; Obesity,Respiratory,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981228,JW42,Equine Feces,Equus caballus,Jefferson City,MO,65109,USA,University of Missouri,38.94 N 92.32 W,7167691,1,1,6/26/10,6/26/16,2192,1,6.866666667,Gelding,Male,Gypsy Vanner,Cob,Anhydrosis: Equine Metabolic Syndrome; Laminitis: bilateral forelimb; Obesity,Respiratory,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981229,JW43,Equine Feces,Equus caballus,Jefferson City,MO,65109,USA,University of Missouri,38.94 N 92.32 W,7167691,1,2,6/26/10,6/27/16,2193,2,6.9,Gelding,Male,Gypsy Vanner,Cob,Anhydrosis: Equine Metabolic Syndrome; Laminitis: bilateral forelimb; Obesity,Respiratory,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,No,None,,,,,,,,,,,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981230,JW44,Equine Feces,Equus caballus,Sedalia,MO,65301,USA,University of Missouri,38.94 N 92.32 W,7167234,1,1,6/13/10,6/13/16,2192,1,6.433333333,Mare,Female,Quarter Horse,Quarter Horse,Corneal Laceration: Enucleation,Ocular,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,"Banamine, Phenylbutazone, Butorphanol, Xylazine,",Butorphanol,,,,,,Xylazine,,,"Flunixin,Phenylbutazone",,,,,,,Pasture/Hay,1,1,0,0
SAMN37981231,JW45,Equine Feces,Equus caballus,Versailles,MO,65084,USA,University of Missouri,38.94 N 92.32 W,7123372,1,1,8/20/03,6/5/16,4673,1,6.166666667,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Impaction, pelvic flexure; Phlebitis",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, DMSO, Baytril, Xylazine, Torb, Dormosedan, Fluids","Dimethyl Sulfoxide,Butorphanol",Enrofloxacin,,,,,"Detomidine,Xylazine",,,Flunixin,,,,Fluids,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981232,JW46,Equine Feces,Equus caballus,Versailles,MO,65084,USA,University of Missouri,38.94 N 92.32 W,7123372,1,2,8/20/03,6/6/16,4674,2,6.2,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Impaction, pelvic flexure; Phlebitis",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, DMSO, Baytril, Xylazine, Torb, Dormosedan, Fluids","Dimethyl Sulfoxide,Butorphanol",Enrofloxacin,,,,,"Detomidine,Xylazine",,,Flunixin,,,,Fluids,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981233,JW47,Equine Feces,Equus caballus,Versailles,MO,65084,USA,University of Missouri,38.94 N 92.32 W,7123372,1,3,8/20/03,6/7/16,4675,3,6.233333333,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Impaction, pelvic flexure; Phlebitis",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, DMSO, Baytril, Xylazine, Torb, Dormosedan, Fluids","Dimethyl Sulfoxide,Butorphanol",Enrofloxacin,,,,,"Detomidine,Xylazine",,,Flunixin,,,,Fluids,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981234,JW48,Equine Feces,Equus caballus,Hawk Point,MO,63349,USA,University of Missouri,38.94 N 92.32 W,7166696,1,1,5/30/07,5/30/16,3288,1,5.967741935,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, large colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Banamine, Fluids",,,,,,,Xylazine,,,Flunixin,,,,Fluids,,,Hay/Grain,0,1,1,0
SAMN37981235,JW49,Equine Feces,Equus caballus,Hawk Point,MO,63349,USA,University of Missouri,38.94 N 92.32 W,7166696,1,2,5/30/07,5/31/16,3289,2,6,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, large colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Fluids,,,,,,,Xylazine,,,Flunixin,,,,Fluids,,,Hay/Grain,0,1,1,0
SAMN37981236,JW4,Equine Feces,Equus caballus,Fulton,MO,65251,USA,University of Missouri,38.94 N 92.32 W,7165469,1,1,1/1/93,4/24/16,8514,1,4.8,Gelding,Male,Mustang,Other,Colitis,Gastrointestinal (Acute),yes,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, Biosponge, Flunixin, Omeprazole,",,,,Omeprazole,,,,Biosponge,,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981237,JW50,Equine Feces,Equus caballus,Hawk Point,MO,63349,USA,University of Missouri,38.94 N 92.32 W,7166696,1,3,5/30/07,6/1/16,3290,3,6.033333333,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, large colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,Xylazine,,,Flunixin,,,,Fluids,,,Hay/Grain,0,1,1,0
SAMN37981238,JW51,Equine Feces,Equus caballus,Hawk Point,MO,63349,USA,University of Missouri,38.94 N 92.32 W,7166696,1,4,5/30/07,6/2/16,3291,4,6.066666667,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, large colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Fluids,,,,,,,Xylazine,,,Flunixin,,,,Fluids,,,Hay/Grain,0,1,1,0
SAMN37981239,JW52,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7166654,1,1,5/30/13,5/27/16,1093,1,5.870967742,Filly,Female,Gypsy Vanner,Cob,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981240,JW53,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,1_7166654,1,1,5/24/16,6/3/16,10,1,6.1,Filly,Female,Gypsy Vanner,Cob,Colitis: Clostridium difficile; Omphalophlebitis; Septicemia,Gastrointestinal (Acute),yes,Infectious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, Amikacin, Sucralfate, Metronidazole, K Pen, Ranitidine",,,,Ranitidine,Sucralfate,,,,"Amikacin,Metronidazole",Flunixin,,Penicillin,,,,,Nursing,0,0,0,1
SAMN37981241,JW54,Equine Feces,Equus caballus,Ashland,MO,65010,USA,University of Missouri,38.94 N 92.32 W,7166654,1,2,5/30/13,6/3/16,1100,8,6.1,Filly,Female,Gypsy Vanner,Cob,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981242,JW55,Equine Feces,Equus caballus,Macon,MO,63552,USA,University of Missouri,38.94 N 92.32 W,7166144,1,1,5/13/86,5/13/16,10958,1,5.419354839,Mare,Female,Holsteiner,Warmblood,Choke; Pneumonia: Aspiration,Respiratory,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,"Fluids, Ceftiofur, Metronidazole, Flunixin,",,,,,,,,,Metronidazole,Flunixin,,,Ceftiofur,Fluids,,,Pasture/Grain,1,0,1,0
SAMN37981243,JW56,Equine Feces,Equus caballus,Vandalia,MO,63382,USA,University of Missouri,38.94 N 92.32 W,8150531,1,1,11/17/97,11/17/15,6574,1,11.56666667,Gelding,Male,Tennessee Walking Horse,Other,Lymphosarcoma; Typhlocolitis,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,"TMS, Prednisolone",,,,,,,,,,,,,,,Trimethoprim sulfa,Prednisolone,Pasture/Hay/Grain,1,1,1,0
SAMN37981244,JW57,Equine Feces,Equus caballus,Ozark,MO,65721,USA,University of Missouri,38.94 N 92.32 W,7166302,1,1,5/13/93,5/18/16,8406,1,5.580645161,Mare,Female,Paint Horse,Other,Enterocolitis,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,"Sucralfate, gastrogard, probiotics, banamine,",,,,Omeprazole,Sucralfate,,,Probiotics,,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
SAMN37981245,JW58,Equine Feces,Equus caballus,Perry,MO,63462,USA,University of Missouri,38.94 N 92.32 W,8150975,1,1,1/29/08,12/21/15,2883,1,12.67741935,Gelding,Male,Thoroughbred,Hot-blooded,Diarrhea: Chronic,Gastrointestinal (Chronic),,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay/Grain,0,1,1,0
SAMN37981246,JW5,Equine Feces,Equus caballus,Fulton,MO,65251,USA,University of Missouri,38.94 N 92.32 W,7165469,1,2,1/1/93,4/25/16,8515,2,4.833333333,Gelding,Male,Mustang,Other,Colitis,Gastrointestinal (Acute),yes,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Banamine, Biosponge, Flunixin, Omeprazole,",,,,Omeprazole,,,,Biosponge,,Flunixin,,,,,,,Pasture/Hay/Grain,1,1,1,0
